id,image_url,principalOrFirstMaker,title,longTitle,width,height
en-RP-T-1949-628,http://lh3.googleusercontent.com/acgFqQDZSpOfI0M7Uoib7xrZ-rHrRhjFykbqg6m3bkHW2PqPCH8bAPKYIFhbdFdS_m-S8W7mUcNqm0pfJ905GDqF2_k=s0,Marius Bauer,Schetsboek met 34 bladen,Schetsboek met 34 bladen;; Marius Bauer;; c. 1880,2500,1636
en-RP-T-1949-630,http://lh3.googleusercontent.com/N0SRBBThBus02_PMQ4JYBm8Df9BmYyMpNrt4lymyPAPqJGKgRaNnVSPNI1QZVr-X-3qff_8bycvSGNia9q9zvZ84QQ=s0,Marius Bauer,Schetsboek met 8 bladen,Schetsboek met 8 bladen;; Marius Bauer;; 1877 - 1885,2500,1606
en-RP-T-1949-642,http://lh3.googleusercontent.com/LNOB89c7cPKpj_qW_AJvaU-VvaI0sTF4pDxmjYwUsPGZzShqEnH6QcSGGA3Y4ePAPnzDMaINKcpmjDc0ikET1bmFQqE=s0,Marius Bauer,Schetsboek met 58 bladen,Schetsboek met 58 bladen;; Marius Bauer;; 1888,1731,2500
en-RP-T-1949-661,http://lh3.googleusercontent.com/HAp9BpkqSPEds8h0r-RF-Fp-mGzCAG3RDpGJ-YVJLZof0jqHA5Xihoeru71YqF7ApngE0HNbUkyQl1faojwEIAmSFW0=s0,Marius Bauer,Schetsboek met 67 bladen,Schetsboek met 67 bladen;; Marius Bauer;; 1909,1860,2500
en-RP-T-1949-666,http://lh3.googleusercontent.com/5TE1CsYfBe-f0pmlqelLxYAbGMhKgWb-4GXoE8NHlaHStXRq3deLHOPg-sTKM0B7Yx92vW2P7kdPtg4esW2LsRg87Q=s0,Marius Bauer,Schetsboek met 23 bladen,Schetsboek met 23 bladen;; Marius Bauer;; 1919,2500,1895
en-RP-T-1949-673,http://lh3.googleusercontent.com/HIzYCAyPDgZhTlJa6IO4kE0v8OZLXYQJAmEgZJ2aKVkS-lPevE_UbAhsGtIEyuvGhOKicdHHG38-edr3Az5eNySI3w=s0,Marius Bauer,Schetsboek met 23 bladen,Schetsboek met 23 bladen;; Marius Bauer;; 1924 - 1925,2500,1780
en-RP-T-1949-678,http://lh3.googleusercontent.com/gbUVv8PuglVSREOxia95i36juS4tWPbmobJggzM6nGeljc34TWW3Vhzz304CbXlJxAULU0YjkVUoZlpBVd856ZFgCyg=s0,Marius Bauer,Schetsboek met 75 bladen,Schetsboek met 75 bladen;; Marius Bauer;; 1924 - 1925,2091,2500
en-RP-T-1949-685,http://lh6.ggpht.com/kS9eLeRjnsNWgysqOBZl7WWo6QOIAzCJBL8YbFviN4KUeyGtNjWIVTNKXjJYSce-_q90BEQ-e-3FBk9orub96AiHvDs=s0,Marius Bauer,Het Damrak,Het Damrak;; Marius Bauer;; 1877 - 1932,2500,1765
en-RP-T-1949-635(V),http://lh6.ggpht.com/PQ_og16RQP_1OPby0tvCFcx6e7VByuseklIDpm0rUb27zpKYI295CZpZi6ZyBt6PAIVakAbinc7D6UFeuKOM_QIQDKc=s0,Marius Bauer,Schetsen van een meisje met hond en badende jongens,Schetsen van een meisje met hond en badende jongens;; Marius Bauer;; 1932 - 1977,1550,2500
en-RP-T-1965-340(R),http://lh3.googleusercontent.com/kbwTlOvFif7ZNBd9jnUdS5X5SzeHYDOjui6gJsDJ7xXFvXjjCw05ZHJj4gM9IgfaWGtse_szaNE5SZYqiyZJSmrpNQ=s0,Marius Bauer,Zelfportret,Zelfportret;; Marius Bauer;; 1877 - 1932,1875,2500
