dir,x_pos,y_pos,prediction
116,60,9
144,60,9
96,60,9
144,40,9
160,140,9
0,60,2
160,108,2
160,148,9
180,140,9
180,96,2
76,92,9
108,160,9
120,20,9
72,180,2
24,136,2
132,116,9
136,40,9
124,108,9
32,60,2
52,8,9
180,100,2
24,140,2
0,148,2
92,148,9
112,36,9
148,100,2
68,4,9
136,68,9
92,140,9
76,32,9
132,64,9
100,120,9
124,24,9
16,156,2
72,100,9
136,28,9
28,104,2
176,108,2
68,92,9
72,64,9
0,152,2
28,84,2
80,148,9
164,112,2
56,140,9
124,64,9
0,144,2
88,12,9
104,152,9
8,72,2
32,100,2
12,180,2
92,136,9
136,100,9
168,132,9
88,144,9
44,24,9
52,180,9
132,176,9
40,24,9
80,8,9
52,168,9
76,64,9
36,84,2
64,140,9
0,8,2
68,36,9
96,72,9
172,176,2
172,84,2
140,124,9
4,16,2
28,92,2
52,96,9
92,108,9
104,116,2
176,68,2
112,60,9
76,48,9
108,136,9
156,64,2
56,8,9
132,92,9
96,48,9
104,36,9
136,132,9
56,136,9
124,120,9
52,140,9
104,68,9
72,136,9
104,140,9
76,88,9
144,76,9
16,28,2
120,64,9
104,92,9
156,52,2
24,16,2
120,140,9
88,132,9
76,28,9
28,52,2
36,152,9
68,16,9
24,92,2
168,8,9
32,168,2
128,8,9
152,100,2
160,180,2
44,132,9
108,108,2
32,136,2
92,60,9
4,80,2
116,72,9
136,96,9
156,156,9
164,84,2
12,148,2
4,28,2
84,20,9
64,144,9
16,16,2
104,156,9
52,84,9
84,156,9
52,136,9
152,40,9
148,68,2
68,168,2
112,152,9
56,176,2
120,52,9
128,108,9
164,60,2
12,144,2
112,148,9
172,92,2
88,176,2
64,180,2
136,140,9
64,32,9
140,36,9
104,12,9
52,36,9
148,132,9
60,0,9
180,152,9
112,40,9
176,64,2
180,16,9
40,120,2
88,160,9
128,16,9
16,168,9
128,160,9
128,12,9
100,28,9
152,44,9
128,36,9
116,168,9
72,52,9
24,60,2
44,36,2
60,156,9
164,28,9
100,20,9
124,48,9
64,80,9
76,124,9
84,48,9
164,8,9
156,92,2
80,128,9
120,176,9
80,100,9
152,128,9
68,132,9
84,80,9
144,72,9
132,140,9
16,12,2
72,80,9
144,20,9
156,44,2
100,148,9
88,60,9
32,164,2
144,24,9
44,40,2
148,92,2
108,44,9
8,100,2
56,64,2
4,144,2
100,164,9
28,88,2
104,8,9
60,164,9
32,172,2
96,132,9
72,44,9
76,160,9
124,164,9
72,24,9
124,8,9
152,92,2
152,64,2
64,156,2
108,60,9
16,116,2
84,56,9
84,32,9
68,96,9
132,164,9
156,124,2
36,48,2
28,128,2
104,56,9
68,72,9
92,160,9
100,108,9
16,160,9
28,76,2
56,92,9
92,128,9
80,56,9
136,36,9
144,36,9
20,32,2
80,144,9
36,0,9
52,120,9
172,4,9
52,60,2
180,116,2
76,0,9
124,136,9
76,164,9
172,12,9
112,108,2
160,64,2
140,104,9
80,172,2
56,80,9
40,72,2
180,156,9
76,104,9
4,96,2
20,4,9
112,104,2
136,24,9
96,76,9
132,144,9
68,104,9
32,92,2
36,104,2
20,176,9
168,36,9
80,32,9
76,4,9
140,92,9
120,68,9
160,144,9
56,32,9
72,84,9
4,100,2
72,144,9
96,24,9
180,128,9
48,100,9
148,36,9
64,100,9
88,40,9
108,180,2
84,108,2
148,28,2
0,156,2
124,12,9
168,168,2
108,88,9
8,68,2
16,88,2
104,108,9
176,156,2
160,44,2
160,88,2
160,20,9
168,112,9
136,88,9
48,68,2
4,148,2
84,172,2
40,180,9
148,144,2
108,156,9
156,176,2
164,108,2
12,48,2
44,80,2
48,156,9
172,20,9
96,120,9
144,32,9
156,152,9
176,4,9
120,36,9
48,48,2
168,40,9
160,16,9
172,60,2
96,44,9
40,140,9
0,104,2
168,100,2
28,180,9
108,128,9
180,20,9
132,88,9
0,36,2
8,128,2
64,112,9
176,152,2
180,4,9
44,176,9
80,160,9
92,92,9
68,120,9
108,80,9
28,116,2
176,164,2
124,172,9
4,180,9
120,44,9
120,16,9
164,68,2
120,56,9
128,40,9
76,24,9
152,76,2
108,52,9
32,144,2
20,8,2
176,24,9
76,36,9
128,128,9
168,164,2
56,120,9
0,68,2
124,160,9
96,12,9
44,136,9
12,80,2
44,100,9
80,104,2
84,164,9
28,152,2
36,116,2
92,132,9
168,176,2
132,96,9
20,164,2
112,168,9
56,132,9
176,76,2
48,52,2
0,40,2
180,176,2
180,36,9
88,28,9
16,44,2
36,160,9
100,124,9
12,164,2
152,20,9
44,124,9
116,120,9
56,104,9
20,116,2
132,36,9
108,124,9
148,60,2
108,0,9
56,88,9
36,88,2
92,0,9
8,52,2
176,28,9
36,40,2
84,124,9
32,16,9
0,140,2
60,60,2
64,36,9
68,136,9
92,52,9
44,88,2
88,8,9
112,180,9
160,40,2
128,116,2
72,112,9
140,20,9
88,84,9
36,124,2
168,24,9
4,168,9
140,52,9
168,0,9
60,76,9
36,144,9
52,28,9
160,112,2
156,56,2
80,112,9
12,120,2
8,4,9
108,120,9
116,124,9
60,152,9
144,12,9
100,52,9
80,80,9
112,92,9
24,48,2
4,0,9
52,176,9
44,120,9
180,112,2
8,160,9
72,128,9
40,20,9
104,32,9
172,88,2
72,0,9
156,36,9
140,32,9
76,72,9
144,160,2
44,116,9
96,16,9
136,92,9
96,64,9
128,88,9
44,44,2
152,4,9
152,156,9
140,136,9
20,120,2
64,104,9
28,40,2
20,80,2
104,60,9
116,64,9
12,12,2
144,164,9
156,16,9
12,56,2
92,8,9
36,148,2
64,20,9
76,100,9
36,64,2
160,76,2
148,24,9
128,68,9
132,108,9
108,8,9
84,180,9
16,180,2
128,124,2
72,28,9
152,24,9
104,144,9
68,108,9
152,36,9
120,112,2
152,0,9
176,176,2
160,48,2
124,16,9
56,108,9
